Plants,Months,Products,value
Houston,Jan-07,200S,231.0
Houston,Feb-07,200S,228.0
Houston,Mar-07,200S,231.0
Houston,Jan-07,300S,102.0
Houston,Feb-07,300S,102.0
Houston,Mar-07,300S,102.0
Houston,Jan-07,600S,61.0
Houston,Feb-07,600S,75.0
Houston,Mar-07,600S,80.0
Houston,Jan-07,626S,0.0
Houston,Feb-07,626S,0.0
Houston,Mar-07,626S,1.0
Houston,Jan-07,676S,133.0
Houston,Feb-07,676S,172.0
Houston,Mar-07,676S,161.0
Houston,Jan-07,676RS,225.0
Houston,Feb-07,676RS,225.0
Houston,Mar-07,676RS,225.0
Houston,Jan-07,900S,0.0
Houston,Feb-07,900S,0.0
Houston,Mar-07,900S,0.0
Houston,Jan-07,929S,0.0
Houston,Feb-07,929S,0.0
Houston,Mar-07,929S,0.0
Houston,Jan-07,996S,23.0
Houston,Feb-07,996S,32.0
Houston,Mar-07,996S,73.0
Houston,Jan-07,996RS,0.0
Houston,Feb-07,996RS,0.0
Houston,Mar-07,996RS,1.0
Houston,Jan-07,RoadStar,205.0
Houston,Feb-07,RoadStar,205.0
Houston,Mar-07,RoadStar,203.0
Houston,Jan-07,RoadLiner,197.0
Houston,Feb-07,RoadLiner,196.0
Houston,Mar-07,RoadLiner,198.0
Houston,Jan-07,Victory,0.0
Houston,Feb-07,Victory,0.0
Houston,Mar-07,Victory,0.0
Houston,Jan-07,Boulevard,0.0
Houston,Feb-07,Boulevard,0.0
Houston,Mar-07,Boulevard,0.0
Houston,Jan-07,KingTwin,143.0
Houston,Feb-07,KingTwin,141.0
Houston,Mar-07,KingTwin,124.0
Houston,Jan-07,MegaTwin,130.0
Houston,Feb-07,MegaTwin,128.0
Houston,Mar-07,MegaTwin,130.0
Houston,Jan-07,ST900,0.0
Houston,Feb-07,ST900,0.0
Houston,Mar-07,ST900,1.0
Houston,Jan-07,ST1200,102.0
Houston,Feb-07,ST1200,46.0
Houston,Mar-07,ST1200,38.0
Houston,Jan-07,ST1200R,0.0
Houston,Feb-07,ST1200R,0.0
Houston,Mar-07,ST1200R,0.0
Houston,Jan-07,Bandit 900,0.0
Houston,Feb-07,Bandit 900,1.0
Houston,Mar-07,Bandit 900,0.0
Houston,Jan-07,Bandit 1200,117.0
Houston,Feb-07,Bandit 1200,117.0
Houston,Mar-07,Bandit 1200,117.0
Houston,Jan-07,Bandit 1200S,0.0
Houston,Feb-07,Bandit 1200S,0.0
Houston,Mar-07,Bandit 1200S,0.0
Houston,Jan-07,Enduro 350,0.0
Houston,Feb-07,Enduro 350,0.0
Houston,Mar-07,Enduro 350,0.0
Houston,Jan-07,Enduro 450,4.0
Houston,Feb-07,Enduro 450,0.0
Houston,Mar-07,Enduro 450,0.0
Houston,Jan-07,Enduro 550,0.0
Houston,Feb-07,Enduro 550,0.0
Houston,Mar-07,Enduro 550,0.0
Houston,Jan-07,CRX500,0.0
Houston,Feb-07,CRX500,0.0
Houston,Mar-07,CRX500,0.0
Houston,Jan-07,CRS550,96.0
Houston,Feb-07,CRS550,96.0
Houston,Mar-07,CRS550,96.0
Houston,Jan-07,CRX600,0.0
Houston,Feb-07,CRX600,0.0
Houston,Mar-07,CRX600,0.0
Houston,Jan-07,CRX650,106.0
Houston,Feb-07,CRX650,96.0
Houston,Mar-07,CRX650,49.0
Dallas,Jan-07,200S,76.0
Dallas,Feb-07,200S,76.0
Dallas,Mar-07,200S,76.0
Dallas,Jan-07,300S,0.0
Dallas,Feb-07,300S,0.0
Dallas,Mar-07,300S,0.0
Dallas,Jan-07,600S,0.0
Dallas,Feb-07,600S,0.0
Dallas,Mar-07,600S,0.0
Dallas,Jan-07,626S,0.0
Dallas,Feb-07,626S,0.0
Dallas,Mar-07,626S,0.0
Dallas,Jan-07,676S,244.0
Dallas,Feb-07,676S,244.0
Dallas,Mar-07,676S,244.0
Dallas,Jan-07,676RS,36.0
Dallas,Feb-07,676RS,36.0
Dallas,Mar-07,676RS,36.0
Dallas,Jan-07,900S,0.0
Dallas,Feb-07,900S,0.0
Dallas,Mar-07,900S,0.0
Dallas,Jan-07,929S,0.0
