plant,product,month,capacity,production,absdiff,reldiff
Houston,200S,Jan-07,231,231,0,0.0
Houston,200S,Feb-07,231,231,0,0.0
Houston,200S,Mar-07,231,231,0,0.0
Houston,300S,Jan-07,102,102,0,0.0
Houston,300S,Feb-07,102,101,1,0.970873786408
Houston,300S,Mar-07,102,102,0,0.0
Houston,600S,Jan-07,245,63,182,73.9837398374
Houston,600S,Feb-07,245,74,171,69.512195122
Houston,600S,Mar-07,245,80,165,67.0731707317
Houston,626S,Jan-07,164,0,164,99.3939393939
Houston,626S,Feb-07,164,0,164,99.3939393939
Houston,626S,Mar-07,164,0,164,99.3939393939
Houston,676S,Jan-07,230,133,97,41.9913419913
Houston,676S,Feb-07,230,171,59,25.5411255411
Houston,676S,Mar-07,230,160,70,30.303030303
Houston,676RS,Jan-07,225,225,0,0.0
Houston,676RS,Feb-07,225,224,1,0.442477876106
Houston,676RS,Mar-07,225,225,0,0.0
Houston,900S,Jan-07,48,0,48,97.9591836735
Houston,900S,Feb-07,48,0,48,97.9591836735
Houston,900S,Mar-07,48,0,48,97.9591836735
Houston,929S,Jan-07,112,0,112,99.1150442478
Houston,929S,Feb-07,112,1,111,98.2300884956
Houston,929S,Mar-07,112,0,112,99.1150442478
Houston,996S,Jan-07,89,27,62,68.8888888889
Houston,996S,Feb-07,89,30,59,65.5555555556
Houston,996S,Mar-07,89,72,17,18.8888888889
Houston,996RS,Jan-07,246,0,246,99.5951417004
Houston,996RS,Feb-07,246,0,246,99.5951417004
Houston,996RS,Mar-07,246,1,245,99.1902834008
Houston,RoadStar,Jan-07,205,205,0,0.0
Houston,RoadStar,Feb-07,205,205,0,0.0
Houston,RoadStar,Mar-07,205,203,2,0.970873786408
Houston,RoadLiner,Jan-07,198,198,0,0.0
Houston,RoadLiner,Feb-07,198,198,0,0.0
Houston,RoadLiner,Mar-07,198,198,0,0.0
Houston,Victory,Jan-07,273,0,273,99.6350364964
Houston,Victory,Feb-07,273,0,273,99.6350364964
Houston,Victory,Mar-07,273,0,273,99.6350364964
Houston,Boulevard,Jan-07,238,0,238,99.5815899582
Houston,Boulevard,Feb-07,238,0,238,99.5815899582
Houston,Boulevard,Mar-07,238,1,237,99.1631799163
Houston,KingTwin,Jan-07,216,146,70,32.2580645161
Houston,KingTwin,Feb-07,216,139,77,35.4838709677
Houston,KingTwin,Mar-07,216,123,93,42.8571428571
Houston,MegaTwin,Jan-07,130,130,0,0.0
Houston,MegaTwin,Feb-07,130,130,0,0.0
Houston,MegaTwin,Mar-07,130,130,0,0.0
Houston,ST900,Jan-07,80,0,80,98.7654320988
