Period,Product Category,Measures,value
Jan 2020,Street,store_sales,0
Jan 2020,Street,store_command,0
Jan 2020,Street,store_stocks,0
Jan 2020,Street,Labor Costs,0
Jan 2020,Street,Actuals,0
Jan 2020,Street,Sellers_Forecast,0
Jan 2020,Street,Sales Forecast,0
Jan 2020,Street,Forecast Arma,0
Jan 2020,Street,Demand Forecast.,0
Jan 2020,Street,Target,0
Jan 2020,Street,Last Years Actuals,0
Jan 2020,Street,Unit Price,0
Jan 2020,Street,Unit Cost,0
Jan 2020,Street,Revenue,0
Jan 2020,Street,Cost of Sales,0
Jan 2020,Street,Gross Margin,0
Jan 2020,Street,Production Cost Mult,0
Jan 2020,Street,Deviation,0
Jan 2020,Street,Marginal Profit Mult Executed Sales,0
Jan 2020,Street,Marginal Profits,0
Jan 2020,Street,Sales,0
Jan 2020,Street,Executed Sales,0
Jan 2020,Street,Inventories,0
Jan 2020,Street,Allocations,0
Jan 2020,Street,Statistical Base Forecast,0
Jan 2020,Street,Sales Adjustment,0
Jan 2020,Street,Product Management Adjustment,0
Jan 2020,Street,Achievement%_Actual,0
Jan 2020,Street,Achievement%_Forecast,0
Jan 2020,Street,Production,0
Jan 2020,Street,Marginal Profits.,0
Jan 2020,Street,Max Trust 95%,0
Jan 2020,Street,Min Trust 95%,0
Jan 2020,Street,Ecart type WML,0
Jan 2020,Cruiser,store_sales,0
Jan 2020,Cruiser,store_command,0
Jan 2020,Cruiser,store_stocks,0
Jan 2020,Cruiser,Labor Costs,0
Jan 2020,Cruiser,Actuals,0
Jan 2020,Cruiser,Sellers_Forecast,0
Jan 2020,Cruiser,Sales Forecast,0
Jan 2020,Cruiser,Forecast Arma,0
Jan 2020,Cruiser,Demand Forecast.,0
Jan 2020,Cruiser,Target,0
Jan 2020,Cruiser,Last Years Actuals,0
Jan 2020,Cruiser,Unit Price,0
Jan 2020,Cruiser,Unit Cost,0
Jan 2020,Cruiser,Revenue,0
Jan 2020,Cruiser,Cost of Sales,0
Jan 2020,Cruiser,Gross Margin,0
Jan 2020,Cruiser,Production Cost Mult,0
Jan 2020,Cruiser,Deviation,0
Jan 2020,Cruiser,Marginal Profit Mult Executed Sales,0
Jan 2020,Cruiser,Marginal Profits,0
Jan 2020,Cruiser,Sales,0
Jan 2020,Cruiser,Executed Sales,0
Jan 2020,Cruiser,Inventories,0
Jan 2020,Cruiser,Allocations,0
Jan 2020,Cruiser,Statistical Base Forecast,0
Jan 2020,Cruiser,Sales Adjustment,0
Jan 2020,Cruiser,Product Management Adjustment,0
