Period;Product Category;Measures;value
janv-20;Street;store_sales;0
janv-20;Street;store_command;0
janv-20;Street;store_stocks;0
janv-20;Street;Labor Costs;0
janv-20;Street;Actuals;0
janv-20;Street;Sellers_Forecast;0
janv-20;Street;Sales Forecast;0
janv-20;Street;Forecast Arma;0
janv-20;Street;Demand Forecast.;0
janv-20;Street;Target;0
janv-20;Street;Last Years Actuals;0
janv-20;Street;Unit Price;0
janv-20;Street;Unit Cost;0
janv-20;Street;Revenue;0
janv-20;Street;Cost of Sales;0
janv-20;Street;Gross Margin;0
janv-20;Street;Production Cost Mult;0
janv-20;Street;Deviation;0
janv-20;Street;Marginal Profit Mult Executed Sales;0
janv-20;Street;Marginal Profits;0
janv-20;Street;Sales;0
janv-20;Street;Executed Sales;0
janv-20;Street;Inventories;0
janv-20;Street;Allocations;0
janv-20;Street;Statistical Base Forecast;0
janv-20;Street;Sales Adjustment;0
janv-20;Street;Product Management Adjustment;0
janv-20;Street;Achievement%_Actual;0
janv-20;Street;Achievement%_Forecast;0
janv-20;Street;Production;0
janv-20;Street;Marginal Profits.;0
janv-20;Street;Max Trust 95%;0
janv-20;Street;Min Trust 95%;0
janv-20;Street;Ecart type WML;0
janv-20;Cruiser;store_sales;0
janv-20;Cruiser;store_command;0
janv-20;Cruiser;store_stocks;0
janv-20;Cruiser;Labor Costs;0
janv-20;Cruiser;Actuals;0
janv-20;Cruiser;Sellers_Forecast;0
janv-20;Cruiser;Sales Forecast;0
janv-20;Cruiser;Forecast Arma;0
janv-20;Cruiser;Demand Forecast.;0
janv-20;Cruiser;Target;0
janv-20;Cruiser;Last Years Actuals;0
janv-20;Cruiser;Unit Price;0
janv-20;Cruiser;Unit Cost;0
janv-20;Cruiser;Revenue;0
janv-20;Cruiser;Cost of Sales;0
janv-20;Cruiser;Gross Margin;0
janv-20;Cruiser;Production Cost Mult;0
janv-20;Cruiser;Deviation;0
janv-20;Cruiser;Marginal Profit Mult Executed Sales;0
janv-20;Cruiser;Marginal Profits;0
janv-20;Cruiser;Sales;0
