Products,Markets,Period,value
200S,US,Jan 2020,32
200S,US,Feb 2020,9
200S,US,Mar 2020,2
200S,US,Apr 2020,0
200S,US,May 2020,0
200S,US,Jun 2020,0
200S,US,Jul 2020,0
200S,US,Aug 2020,0
200S,US,Sep 2020,0
200S,US,Oct 2020,0
200S,US,Nov 2020,0
200S,US,Dec 2020,0
200S,Canada,Jan 2020,37
200S,Canada,Feb 2020,10
200S,Canada,Mar 2020,2
200S,Canada,Apr 2020,0
200S,Canada,May 2020,0
200S,Canada,Jun 2020,0
200S,Canada,Jul 2020,0
200S,Canada,Aug 2020,0
200S,Canada,Sep 2020,0
200S,Canada,Oct 2020,0
200S,Canada,Nov 2020,0
200S,Canada,Dec 2020,0
200S,Brazil,Jan 2020,36
200S,Brazil,Feb 2020,9
200S,Brazil,Mar 2020,2
200S,Brazil,Apr 2020,0
200S,Brazil,May 2020,0
200S,Brazil,Jun 2020,0
200S,Brazil,Jul 2020,0
200S,Brazil,Aug 2020,0
200S,Brazil,Sep 2020,0
200S,Brazil,Oct 2020,0
200S,Brazil,Nov 2020,0
200S,Brazil,Dec 2020,0
200S,Argentina,Jan 2020,26
200S,Argentina,Feb 2020,7
200S,Argentina,Mar 2020,1
200S,Argentina,Apr 2020,0
200S,Argentina,May 2020,0
200S,Argentina,Jun 2020,0
200S,Argentina,Jul 2020,0
200S,Argentina,Aug 2020,0
200S,Argentina,Sep 2020,0
200S,Argentina,Oct 2020,0
200S,Argentina,Nov 2020,0
200S,Argentina,Dec 2020,0
200S,UK,Jan 2020,29
200S,UK,Feb 2020,7
200S,UK,Mar 2020,1
200S,UK,Apr 2020,0
200S,UK,May 2020,0
200S,UK,Jun 2020,0
200S,UK,Jul 2020,0
200S,UK,Aug 2020,0
200S,UK,Sep 2020,0
200S,UK,Oct 2020,0
200S,UK,Nov 2020,0
200S,UK,Dec 2020,0
200S,France,Jan 2020,33
200S,France,Feb 2020,8
200S,France,Mar 2020,2
200S,France,Apr 2020,0
200S,France,May 2020,0
200S,France,Jun 2020,0
200S,France,Jul 2020,0
200S,France,Aug 2020,0
200S,France,Sep 2020,0
200S,France,Oct 2020,0
200S,France,Nov 2020,0
200S,France,Dec 2020,0
200S,Germany,Jan 2020,9
200S,Germany,Feb 2020,3
200S,Germany,Mar 2020,0
200S,Germany,Apr 2020,0
200S,Germany,May 2020,0
200S,Germany,Jun 2020,0
200S,Germany,Jul 2020,0
200S,Germany,Aug 2020,0
200S,Germany,Sep 2020,0
200S,Germany,Oct 2020,0
200S,Germany,Nov 2020,0
200S,Germany,Dec 2020,0
200S,Spain,Jan 2020,27
