Products,Markets,Period,value
200S,US,Jan 2020,727
200S,US,Feb 2020,750
200S,US,Mar 2020,735
200S,US,Apr 2020,750
200S,US,May 2020,724
200S,US,Jun 2020,711
200S,US,Jul 2020,721
200S,US,Aug 2020,732
200S,US,Sep 2020,717
200S,US,Oct 2020,750
200S,US,Nov 2020,744
200S,US,Dec 2020,745
200S,Canada,Jan 2020,713
200S,Canada,Feb 2020,713
200S,Canada,Mar 2020,745
200S,Canada,Apr 2020,742
200S,Canada,May 2020,752
200S,Canada,Jun 2020,745
200S,Canada,Jul 2020,758
200S,Canada,Aug 2020,757
200S,Canada,Sep 2020,716
200S,Canada,Oct 2020,711
200S,Canada,Nov 2020,739
200S,Canada,Dec 2020,755
200S,Brazil,Jan 2020,753
200S,Brazil,Feb 2020,711
200S,Brazil,Mar 2020,719
200S,Brazil,Apr 2020,758
200S,Brazil,May 2020,758
200S,Brazil,Jun 2020,722
200S,Brazil,Jul 2020,731
200S,Brazil,Aug 2020,718
200S,Brazil,Sep 2020,755
200S,Brazil,Oct 2020,718
200S,Brazil,Nov 2020,755
200S,Brazil,Dec 2020,737
200S,Argentina,Jan 2020,748
200S,Argentina,Feb 2020,713
200S,Argentina,Mar 2020,750
200S,Argentina,Apr 2020,747
200S,Argentina,May 2020,744
200S,Argentina,Jun 2020,713
200S,Argentina,Jul 2020,727
200S,Argentina,Aug 2020,756
200S,Argentina,Sep 2020,719
200S,Argentina,Oct 2020,755
200S,Argentina,Nov 2020,740
200S,Argentina,Dec 2020,737
200S,UK,Jan 2020,713
200S,UK,Feb 2020,757
200S,UK,Mar 2020,721
200S,UK,Apr 2020,743
200S,UK,May 2020,720
200S,UK,Jun 2020,712
200S,UK,Jul 2020,736
200S,UK,Aug 2020,729
200S,UK,Sep 2020,714
200S,UK,Oct 2020,733
200S,UK,Nov 2020,750
200S,UK,Dec 2020,721
200S,France,Jan 2020,728
200S,France,Feb 2020,757
200S,France,Mar 2020,714
200S,France,Apr 2020,759
200S,France,May 2020,730
200S,France,Jun 2020,718
200S,France,Jul 2020,711
200S,France,Aug 2020,729
200S,France,Sep 2020,741
200S,France,Oct 2020,734
200S,France,Nov 2020,733
200S,France,Dec 2020,748
200S,Germany,Jan 2020,735
200S,Germany,Feb 2020,749
200S,Germany,Mar 2020,756
200S,Germany,Apr 2020,730
200S,Germany,May 2020,742
200S,Germany,Jun 2020,733
200S,Germany,Jul 2020,713
200S,Germany,Aug 2020,753
200S,Germany,Sep 2020,724
200S,Germany,Oct 2020,720
200S,Germany,Nov 2020,749
200S,Germany,Dec 2020,718
200S,Spain,Jan 2020,728
200S,Spain,Feb 2020,756
200S,Spain,Mar 2020,739
200S,Spain,Apr 2020,731
200S,Spain,May 2020,757
200S,Spain,Jun 2020,735
200S,Spain,Jul 2020,740
200S,Spain,Aug 2020,731
200S,Spain,Sep 2020,735
200S,Spain,Oct 2020,729
200S,Spain,Nov 2020,723
200S,Spain,Dec 2020,724
200S,Italy,Jan 2020,746
200S,Italy,Feb 2020,734
200S,Italy,Mar 2020,737
200S,Italy,Apr 2020,729
200S,Italy,May 2020,728
200S,Italy,Jun 2020,721
200S,Italy,Jul 2020,744
200S,Italy,Aug 2020,755
200S,Italy,Sep 2020,732
200S,Italy,Oct 2020,744
200S,Italy,Nov 2020,728
200S,Italy,Dec 2020,725
200S,China,Jan 2020,712
200S,China,Feb 2020,713
200S,China,Mar 2020,724
200S,China,Apr 2020,716
200S,China,May 2020,747
200S,China,Jun 2020,735
200S,China,Jul 2020,738
200S,China,Aug 2020,748
200S,China,Sep 2020,731
200S,China,Oct 2020,742
200S,China,Nov 2020,732
200S,China,Dec 2020,744
200S,Japan,Jan 2020,724
200S,Japan,Feb 2020,715
200S,Japan,Mar 2020,739
200S,Japan,Apr 2020,759
200S,Japan,May 2020,758
200S,Japan,Jun 2020,749
200S,Japan,Jul 2020,731
200S,Japan,Aug 2020,712
200S,Japan,Sep 2020,747
200S,Japan,Oct 2020,757
200S,Japan,Nov 2020,756
200S,Japan,Dec 2020,735
200S,Americas#,Jan 2020,0
200S,Americas#,Feb 2020,0
200S,Americas#,Mar 2020,0
200S,Americas#,Apr 2020,0
200S,Americas#,May 2020,0
200S,Americas#,Jun 2020,0
200S,Americas#,Jul 2020,0
200S,Americas#,Aug 2020,0
200S,Americas#,Sep 2020,0
200S,Americas#,Oct 2020,0
200S,Americas#,Nov 2020,0
200S,Americas#,Dec 2020,0
200S,EMEA#,Jan 2020,0
200S,EMEA#,Feb 2020,0
200S,EMEA#,Mar 2020,0
200S,EMEA#,Apr 2020,0
200S,EMEA#,May 2020,0
200S,EMEA#,Jun 2020,0
200S,EMEA#,Jul 2020,0
200S,EMEA#,Aug 2020,0
200S,EMEA#,Sep 2020,0
200S,EMEA#,Oct 2020,0
200S,EMEA#,Nov 2020,0
200S,EMEA#,Dec 2020,0
200S,APAC#,Jan 2020,0
200S,APAC#,Feb 2020,0
200S,APAC#,Mar 2020,0
200S,APAC#,Apr 2020,0
200S,APAC#,May 2020,0
200S,APAC#,Jun 2020,0
200S,APAC#,Jul 2020,0
200S,APAC#,Aug 2020,0
200S,APAC#,Sep 2020,0
200S,APAC#,Oct 2020,0
200S,APAC#,Nov 2020,0
200S,APAC#,Dec 2020,0
200S,Total Market#,Jan 2020,0
200S,Total Market#,Feb 2020,0
200S,Total Market#,Mar 2020,0
200S,Total Market#,Apr 2020,0
200S,Total Market#,May 2020,0
200S,Total Market#,Jun 2020,0
200S,Total Market#,Jul 2020,0
200S,Total Market#,Aug 2020,0
200S,Total Market#,Sep 2020,0
