plant,product,month,capacity,production,absdiff,reldiff
Houston,200S,Jan 2016,0,0,0,0
Houston,200S,Feb 2016,0,0,0,0
Houston,200S,Mar 2016,0,0,0,0
Houston,300S,Jan 2016,84,84,0,0
Houston,300S,Feb 2016,84,84,0,0
Houston,300S,Mar 2016,84,84,0,0
Houston,600S,Jan 2016,251,235,16,6.349206349206349
Houston,600S,Feb 2016,251,225,26,10.317460317460318
Houston,600S,Mar 2016,251,198,53,21.03174603174603
Houston,626S,Jan 2016,195,0,195,99.48979591836735
Houston,626S,Feb 2016,195,0,195,99.48979591836735
Houston,626S,Mar 2016,195,0,195,99.48979591836735
Houston,676S,Jan 2016,97,97,0,0
Houston,676S,Feb 2016,97,97,0,0
Houston,676S,Mar 2016,97,97,0,0
Houston,676RS,Jan 2016,152,152,0,0
Houston,676RS,Feb 2016,152,152,0,0
Houston,676RS,Mar 2016,152,152,0,0
Houston,900S,Jan 2016,214,0,214,99.53488372093024
Houston,900S,Feb 2016,214,0,214,99.53488372093024
Houston,900S,Mar 2016,214,0,214,99.53488372093024
Houston,929S,Jan 2016,267,0,267,99.6268656716418
Houston,929S,Feb 2016,267,0,267,99.6268656716418
Houston,929S,Mar 2016,267,0,267,99.6268656716418
Houston,996S,Jan 2016,44,0,44,97.77777777777777
Houston,996S,Feb 2016,44,0,44,97.77777777777777
Houston,996S,Mar 2016,44,44,0,0
Houston,996RS,Jan 2016,151,151,0,0
Houston,996RS,Feb 2016,151,151,0,0
Houston,996RS,Mar 2016,151,151,0,0
Houston,RoadStar,Jan 2016,150,150,0,0
Houston,RoadStar,Feb 2016,150,136,14,9.271523178807946
Houston,RoadStar,Mar 2016,150,125,25,16.556291390728475
Houston,RoadLiner,Jan 2016,65,65,0,0
Houston,RoadLiner,Feb 2016,65,65,0,0
Houston,RoadLiner,Mar 2016,65,65,0,0
Houston,Victory,Jan 2016,274,0,274,99.63636363636364
Houston,Victory,Feb 2016,274,0,274,99.63636363636364
Houston,Victory,Mar 2016,274,0,274,99.63636363636364
Houston,Boulevard,Jan 2016,173,1,172,98.85057471264368
Houston,Boulevard,Feb 2016,173,0,173,99.42528735632185
Houston,Boulevard,Mar 2016,173,0,173,99.42528735632185
Houston,KingTwin,Jan 2016,190,124,66,34.55497382198953
Houston,KingTwin,Feb 2016,190,111,79,41.361256544502616
Houston,KingTwin,Mar 2016,190,73,117,61.2565445026178
Houston,MegaTwin,Jan 2016,163,163,0,0
Houston,MegaTwin,Feb 2016,163,163,0,0
Houston,MegaTwin,Mar 2016,163,163,0,0
Houston,ST900,Jan 2016,216,0,216,99.53917050691244
Houston,ST900,Feb 2016,216,0,216,99.53917050691244
Houston,ST900,Mar 2016,216,0,216,99.53917050691244
Houston,ST1200,Jan 2016,204,168,36,17.5609756097561
Houston,ST1200,Feb 2016,204,177,27,13.170731707317072
Houston,ST1200,Mar 2016,204,181,23,11.21951219512195
Houston,ST1200R,Jan 2016,207,0,207,99.51923076923077
Houston,ST1200R,Feb 2016,207,0,207,99.51923076923077
Houston,ST1200R,Mar 2016,207,0,207,99.51923076923077
Houston,Bandit 900,Jan 2016,268,0,268,99.62825278810409
Houston,Bandit 900,Feb 2016,268,0,268,99.62825278810409
Houston,Bandit 900,Mar 2016,268,0,268,99.62825278810409
Houston,Bandit 1200,Jan 2016,201,201,0,0
Houston,Bandit 1200,Feb 2016,201,201,0,0
Houston,Bandit 1200,Mar 2016,201,155,46,22.77227722772277
Houston,Bandit 1200S,Jan 2016,40,40,0,0
Houston,Bandit 1200S,Feb 2016,40,40,0,0
Houston,Bandit 1200S,Mar 2016,40,40,0,0
Houston,Enduro 350,Jan 2016,221,0,221,99.54954954954955
Houston,Enduro 350,Feb 2016,221,0,221,99.54954954954955
Houston,Enduro 350,Mar 2016,221,0,221,99.54954954954955
Houston,Enduro 450,Jan 2016,223,0,223,99.55357142857143
Houston,Enduro 450,Feb 2016,223,0,223,99.55357142857143
Houston,Enduro 450,Mar 2016,223,0,223,99.55357142857143
Houston,Enduro 550,Jan 2016,193,1,192,98.96907216494846
Houston,Enduro 550,Feb 2016,193,0,193,99.48453608247422
Houston,Enduro 550,Mar 2016,193,18,175,90.20618556701031
Houston,CRX500,Jan 2016,126,0,126,99.21259842519684
Houston,CRX500,Feb 2016,126,0,126,99.21259842519684
Houston,CRX500,Mar 2016,126,0,126,99.21259842519684
Houston,CRS550,Jan 2016,66,66,0,0
Houston,CRS550,Feb 2016,66,66,0,0
Houston,CRS550,Mar 2016,66,66,0,0
Houston,CRX600,Jan 2016,241,0,241,99.58677685950413
Houston,CRX600,Feb 2016,241,0,241,99.58677685950413
Houston,CRX600,Mar 2016,241,0,241,99.58677685950413
Houston,CRX650,Jan 2016,218,177,41,18.72146118721461
Houston,CRX650,Feb 2016,218,192,26,11.872146118721462
Houston,CRX650,Mar 2016,218,218,0,0
Dallas,200S,Jan 2016,76,76,0,0
Dallas,200S,Feb 2016,76,76,0,0
Dallas,200S,Mar 2016,76,76,0,0
Dallas,300S,Jan 2016,253,2,251,98.81889763779527
Dallas,300S,Feb 2016,253,9,244,96.06299212598425
Dallas,300S,Mar 2016,253,0,253,99.60629921259843
Dallas,600S,Jan 2016,122,0,122,99.1869918699187
Dallas,600S,Feb 2016,122,0,122,99.1869918699187
Dallas,600S,Mar 2016,122,0,122,99.1869918699187
Dallas,626S,Jan 2016,98,0,98,98.98989898989899
Dallas,626S,Feb 2016,98,0,98,98.98989898989899
Dallas,626S,Mar 2016,98,0,98,98.98989898989899
Dallas,676S,Jan 2016,244,244,0,0
Dallas,676S,Feb 2016,244,244,0,0
Dallas,676S,Mar 2016,244,244,0,0
Dallas,676RS,Jan 2016,36,36,0,0
Dallas,676RS,Feb 2016,36,36,0,0
Dallas,676RS,Mar 2016,36,36,0,0
Dallas,900S,Jan 2016,34,0,34,97.14285714285714
Dallas,900S,Feb 2016,34,0,34,97.14285714285714
Dallas,900S,Mar 2016,34,0,34,97.14285714285714
Dallas,929S,Jan 2016,181,108,73,40.10989010989011
Dallas,929S,Feb 2016,181,109,72,39.56043956043956
Dallas,929S,Mar 2016,181,111,70,38.46153846153846
Dallas,996S,Jan 2016,172,172,0,0
Dallas,996S,Feb 2016,172,172,0,0
Dallas,996S,Mar 2016,172,172,0,0
Dallas,996RS,Jan 2016,149,0,149,99.33333333333333
Dallas,996RS,Feb 2016,149,0,149,99.33333333333333
Dallas,996RS,Mar 2016,149,0,149,99.33333333333333
Dallas,RoadStar,Jan 2016,262,262,0,0
Dallas,RoadStar,Feb 2016,262,262,0,0
Dallas,RoadStar,Mar 2016,262,262,0,0
Dallas,RoadLiner,Jan 2016,105,105,0,0
Dallas,RoadLiner,Feb 2016,105,105,0,0
Dallas,RoadLiner,Mar 2016,105,105,0,0
Dallas,Victory,Jan 2016,155,0,155,99.35897435897436
Dallas,Victory,Feb 2016,155,0,155,99.35897435897436
Dallas,Victory,Mar 2016,155,0,155,99.35897435897436
Dallas,Boulevard,Jan 2016,197,197,0,0
Dallas,Boulevard,Feb 2016,197,197,0,0
Dallas,Boulevard,Mar 2016,197,197,0,0
Dallas,KingTwin,Jan 2016,41,0,41,97.61904761904762
Dallas,KingTwin,Feb 2016,41,41,0,0
Dallas,KingTwin,Mar 2016,41,41,0,0
Dallas,MegaTwin,Jan 2016,178,0,178,99.44134078212291
Dallas,MegaTwin,Feb 2016,178,0,178,99.44134078212291
Dallas,MegaTwin,Mar 2016,178,0,178,99.44134078212291
Dallas,ST900,Jan 2016,31,0,31,96.875
Dallas,ST900,Feb 2016,31,0,31,96.875
Dallas,ST900,Mar 2016,31,0,31,96.875
Dallas,ST1200,Jan 2016,82,0,82,98.79518072289157
