product,market,month,demand,allocation,absdiff,reldiff
200S,US,Jan-07,6666,634,6032,90.47547622618869
200S,US,Feb-07,88,80,8,8.98876404494382
200S,US,Mar-07,81,80,1,1.2195121951219512
200S,Canada,Jan-07,93,6,87,92.55319148936171
200S,Canada,Feb-07,96,81,15,15.463917525773196
200S,Canada,Mar-07,97,88,9,9.183673469387756
200S,Brazil,Jan-07,90,6,84,92.3076923076923
200S,Brazil,Feb-07,88,72,16,17.97752808988764
200S,Brazil,Mar-07,90,80,10,10.989010989010989
200S,Argentina,Jan-07,64,5,59,90.76923076923077
200S,Argentina,Feb-07,67,53,14,20.58823529411765
200S,Argentina,Mar-07,61,53,8,12.903225806451612
200S,UK,Jan-07,72,5,67,91.78082191780823
200S,UK,Feb-07,73,73,0,0
200S,UK,Mar-07,71,66,5,6.944444444444445
200S,France,Jan-07,83,5,78,92.85714285714286
200S,France,Feb-07,79,79,0,0
200S,France,Mar-07,75,67,8,10.526315789473685
200S,Germany,Jan-07,22,2,20,86.95652173913044
200S,Germany,Feb-07,30,30,0,0
200S,Germany,Mar-07,22,22,0,0
200S,Spain,Jan-07,68,4,64,92.7536231884058
200S,Spain,Feb-07,65,65,0,0
200S,Spain,Mar-07,59,59,0,0
200S,Italy,Jan-07,32,2,30,90.9090909090909
200S,Italy,Feb-07,34,30,4,11.428571428571429
200S,Italy,Mar-07,36,36,0,0
200S,China,Jan-07,87,6,81,92.04545454545455
200S,China,Feb-07,82,67,15,18.072289156626507
200S,China,Mar-07,87,79,8,9.090909090909092
200S,Japan,Jan-07,64,5,59,90.76923076923077
200S,Japan,Feb-07,63,50,13,20.3125
200S,Japan,Mar-07,58,50,8,13.559322033898304
300S,US,Jan-07,28,25,3,10.344827586206897
300S,US,Feb-07,28,24,4,13.793103448275861
300S,US,Mar-07,22,20,2,8.695652173913043
300S,Canada,Jan-07,20,17,3,14.285714285714286
300S,Canada,Feb-07,23,21,2,8.333333333333334
300S,Canada,Mar-07,22,20,2,8.695652173913043
300S,Brazil,Jan-07,62,55,7,11.11111111111111
300S,Brazil,Feb-07,58,51,7,11.864406779661017
300S,Brazil,Mar-07,55,48,7,12.5
300S,Argentina,Jan-07,46,41,5,10.638297872340425
300S,Argentina,Feb-07,41,36,5,11.904761904761905
300S,Argentina,Mar-07,44,39,5,11.11111111111111
300S,UK,Jan-07,27,24,3,10.714285714285714
300S,UK,Feb-07,30,27,3,9.67741935483871
300S,UK,Mar-07,30,27,3,9.67741935483871
300S,France,Jan-07,108,96,12,11.009174311926605
300S,France,Feb-07,108,96,12,11.009174311926605
300S,France,Mar-07,105,93,12,11.320754716981131
300S,Germany,Jan-07,36,32,4,10.81081081081081
300S,Germany,Feb-07,45,41,4,8.695652173913043
300S,Germany,Mar-07,44,40,4,8.88888888888889
300S,Spain,Jan-07,20,17,3,14.285714285714286
300S,Spain,Feb-07,18,15,3,15.789473684210526
300S,Spain,Mar-07,23,21,2,8.333333333333334
300S,Italy,Jan-07,7,6,1,12.5
300S,Italy,Feb-07,9,8,1,10
300S,Italy,Mar-07,6,6,0,0
300S,China,Jan-07,33,29,4,11.764705882352942
300S,China,Feb-07,37,33,4,10.526315789473685
300S,China,Mar-07,29,26,3,10
300S,Japan,Jan-07,11,10,1,8.333333333333334
300S,Japan,Feb-07,7,5,2,25
300S,Japan,Mar-07,12,11,1,7.6923076923076925
600S,US,Jan-07,6,3,3,42.857142857142854
600S,US,Feb-07,2,0,2,100
600S,US,Mar-07,5,4,1,16.666666666666668
600S,Canada,Jan-07,74,65,9,12
600S,Canada,Feb-07,71,63,8,11.11111111111111
600S,Canada,Mar-07,78,70,8,10.126582278481013
600S,Brazil,Jan-07,72,64,8,10.95890410958904
600S,Brazil,Feb-07,70,62,8,11.267605633802816
600S,Brazil,Mar-07,72,64,8,10.95890410958904
600S,Argentina,Jan-07,76,67,9,11.688311688311689
600S,Argentina,Feb-07,79,71,8,10
600S,Argentina,Mar-07,77,69,8,10.256410256410257
600S,UK,Jan-07,26,23,3,11.11111111111111
600S,UK,Feb-07,30,27,3,9.67741935483871
600S,UK,Mar-07,30,27,3,9.67741935483871
600S,France,Jan-07,118,105,13,10.92436974789916
600S,France,Feb-07,119,106,13,10.833333333333334
600S,France,Mar-07,115,102,13,11.206896551724139
600S,Germany,Jan-07,107,95,12,11.11111111111111
600S,Germany,Feb-07,113,101,12,10.526315789473685
600S,Germany,Mar-07,115,103,12,10.344827586206897
600S,Spain,Jan-07,69,61,8,11.428571428571429
600S,Spain,Feb-07,73,65,8,10.81081081081081
600S,Spain,Mar-07,78,71,7,8.860759493670885
600S,Italy,Jan-07,81,72,9,10.975609756097562
600S,Italy,Feb-07,83,74,9,10.714285714285714
600S,Italy,Mar-07,82,73,9,10.843373493975903
600S,China,Jan-07,99,88,11,11
600S,China,Feb-07,102,91,11,10.679611650485437
600S,China,Mar-07,104,93,11,10.476190476190476
600S,Japan,Jan-07,22,16,6,26.08695652173913
600S,Japan,Feb-07,20,14,6,28.571428571428573
600S,Japan,Mar-07,16,10,6,35.294117647058826
626S,US,Jan-07,73,65,8,10.81081081081081
626S,US,Feb-07,79,71,8,10
626S,US,Mar-07,82,74,8,9.63855421686747
626S,Canada,Jan-07,52,47,5,9.433962264150944
626S,Canada,Feb-07,52,46,6,11.320754716981131
626S,Canada,Mar-07,55,49,6,10.714285714285714
626S,Brazil,Jan-07,26,23,3,11.11111111111111
626S,Brazil,Feb-07,29,26,3,10
626S,Brazil,Mar-07,22,19,3,13.043478260869565
626S,Argentina,Jan-07,110,98,12,10.81081081081081
626S,Argentina,Feb-07,102,89,13,12.62135922330097
626S,Argentina,Mar-07,106,94,12,11.214953271028037
626S,UK,Jan-07,31,28,3,9.375
626S,UK,Feb-07,29,25,4,13.333333333333334
626S,UK,Mar-07,28,25,3,10.344827586206897
626S,France,Jan-07,22,19,3,13.043478260869565
626S,France,Feb-07,22,20,2,8.695652173913043
626S,France,Mar-07,25,23,2,7.6923076923076925
626S,Germany,Jan-07,22,19,3,13.043478260869565
626S,Germany,Feb-07,27,25,2,7.142857142857143
626S,Germany,Mar-07,24,22,2,8
626S,Spain,Jan-07,19,17,2,10
626S,Spain,Feb-07,21,19,2,9.090909090909092
626S,Spain,Mar-07,12,10,2,15.384615384615385
626S,Italy,Jan-07,24,21,3,12
626S,Italy,Feb-07,25,23,2,7.6923076923076925
626S,Italy,Mar-07,24,21,3,12
626S,China,Jan-07,79,70,9,11.25
626S,China,Feb-07,71,62,9,12.5
626S,China,Mar-07,78,70,8,10.126582278481013
626S,Japan,Jan-07,83,74,9,10.714285714285714
626S,Japan,Feb-07,85,75,10,11.627906976744185
626S,Japan,Mar-07,86,77,9,10.344827586206897
676S,US,Jan-07,47,42,5,10.416666666666666
676S,US,Feb-07,49,43,6,12
676S,US,Mar-07,56,51,5,8.771929824561404
676S,Canada,Jan-07,20,18,2,9.523809523809524
676S,Canada,Feb-07,20,17,3,14.285714285714286
676S,Canada,Mar-07,25,23,2,7.6923076923076925
676S,Brazil,Jan-07,9,8,1,10
676S,Brazil,Feb-07,6,5,1,14.285714285714286
676S,Brazil,Mar-07,11,10,1,8.333333333333334
676S,Argentina,Jan-07,91,81,10,10.869565217391305
676S,Argentina,Feb-07,94,84,10,10.526315789473685
676S,Argentina,Mar-07,97,87,10,10.204081632653061
676S,UK,Jan-07,28,25,3,10.344827586206897
676S,UK,Feb-07,27,24,3,10.714285714285714
676S,UK,Mar-07,31,28,3,9.375
676S,France,Jan-07,83,74,9,10.714285714285714
676S,France,Feb-07,88,78,10,11.235955056179776
676S,France,Mar-07,85,76,9,10.465116279069768
676S,Germany,Jan-07,110,99,11,9.90990990990991
676S,Germany,Feb-07,122,109,13,10.56910569105691
676S,Germany,Mar-07,126,113,13,10.236220472440944
676S,Spain,Jan-07,46,41,5,10.638297872340425
676S,Spain,Feb-07,45,40,5,10.869565217391305
676S,Spain,Mar-07,47,42,5,10.416666666666666
676S,Italy,Jan-07,104,93,11,10.476190476190476
676S,Italy,Feb-07,115,103,12,10.344827586206897
676S,Italy,Mar-07,120,108,12,9.917355371900827
676S,China,Jan-07,58,52,6,10.169491525423728
676S,China,Feb-07,59,52,7,11.666666666666666
676S,China,Mar-07,68,62,6,8.695652173913043
676S,Japan,Jan-07,47,42,5,10.416666666666666
676S,Japan,Feb-07,56,50,6,10.526315789473685
676S,Japan,Mar-07,59,54,5,8.333333333333334
676RS,US,Jan-07,101,90,11,10.784313725490197
676RS,US,Feb-07,106,94,12,11.214953271028037
676RS,US,Mar-07,116,105,11,9.401709401709402
676RS,Canada,Jan-07,16,14,2,11.764705882352942
676RS,Canada,Feb-07,16,14,2,11.764705882352942
676RS,Canada,Mar-07,16,15,1,5.882352941176471
676RS,Brazil,Jan-07,58,52,6,10.169491525423728
676RS,Brazil,Feb-07,58,51,7,11.864406779661017
676RS,Brazil,Mar-07,59,53,6,10
676RS,Argentina,Jan-07,85,75,10,11.627906976744185
676RS,Argentina,Feb-07,92,83,9,9.67741935483871
676RS,Argentina,Mar-07,90,81,9,9.89010989010989
676RS,UK,Jan-07,24,21,3,12
676RS,UK,Feb-07,32,29,3,9.090909090909092
676RS,UK,Mar-07,33,31,2,5.882352941176471
676RS,France,Jan-07,35,31,4,11.11111111111111
676RS,France,Feb-07,39,35,4,10
676RS,France,Mar-07,36,32,4,10.81081081081081
676RS,Germany,Jan-07,58,51,7,11.864406779661017
676RS,Germany,Feb-07,54,48,6,10.909090909090908
676RS,Germany,Mar-07,59,53,6,10
676RS,Spain,Jan-07,64,57,7,10.76923076923077
676RS,Spain,Feb-07,63,56,7,10.9375
676RS,Spain,Mar-07,59,52,7,11.666666666666666
676RS,Italy,Jan-07,35,30,5,13.88888888888889
676RS,Italy,Feb-07,39,36,3,7.5
676RS,Italy,Mar-07,34,30,4,11.428571428571429
676RS,China,Jan-07,36,32,4,10.81081081081081
676RS,China,Feb-07,37,33,4,10.526315789473685
676RS,China,Mar-07,39,35,4,10
676RS,Japan,Jan-07,72,63,9,12.32876712328767
676RS,Japan,Feb-07,68,61,7,10.144927536231885
676RS,Japan,Mar-07,70,62,8,11.267605633802816
900S,US,Jan-07,9,8,1,10
900S,US,Feb-07,14,13,1,6.666666666666667
900S,US,Mar-07,6,5,1,14.285714285714286
900S,Canada,Jan-07,105,93,12,11.320754716981131
900S,Canada,Feb-07,97,86,11,11.224489795918368
900S,Canada,Mar-07,102,90,12,11.650485436893204
900S,Brazil,Jan-07,37,33,4,10.526315789473685
900S,Brazil,Feb-07,40,36,4,9.75609756097561
900S,Brazil,Mar-07,43,39,4,9.090909090909092
900S,Argentina,Jan-07,35,31,4,11.11111111111111
900S,Argentina,Feb-07,34,30,4,11.428571428571429
900S,Argentina,Mar-07,35,31,4,11.11111111111111
900S,UK,Jan-07,115,102,13,11.206896551724139
900S,UK,Feb-07,107,94,13,12.037037037037036
900S,UK,Mar-07,111,99,12,10.714285714285714
900S,France,Jan-07,41,36,5,11.904761904761905
900S,France,Feb-07,37,32,5,13.157894736842104
900S,France,Mar-07,44,40,4,8.88888888888889
900S,Germany,Jan-07,43,38,5,11.363636363636363
900S,Germany,Feb-07,35,31,4,11.11111111111111
900S,Germany,Mar-07,39,34,5,12.5
900S,Spain,Jan-07,59,53,6,10
900S,Spain,Feb-07,61,54,7,11.290322580645162
900S,Spain,Mar-07,60,53,7,11.475409836065573
900S,Italy,Jan-07,22,20,2,8.695652173913043
900S,Italy,Feb-07,24,21,3,12
900S,Italy,Mar-07,22,20,2,8.695652173913043
900S,China,Jan-07,13,11,2,14.285714285714286
900S,China,Feb-07,12,11,1,7.6923076923076925
900S,China,Mar-07,16,15,1,5.882352941176471
900S,Japan,Jan-07,39,35,4,10
900S,Japan,Feb-07,38,33,5,12.820512820512821
900S,Japan,Mar-07,37,33,4,10.526315789473685
929S,US,Jan-07,107,95,12,11.11111111111111
929S,US,Feb-07,106,94,12,11.214953271028037
929S,US,Mar-07,107,95,12,11.11111111111111
929S,Canada,Jan-07,42,37,5,11.627906976744185
929S,Canada,Feb-07,40,36,4,9.75609756097561
929S,Canada,Mar-07,45,40,5,10.869565217391305
929S,Brazil,Jan-07,15,13,2,12.5
929S,Brazil,Feb-07,10,9,1,9.090909090909092
929S,Brazil,Mar-07,8,6,2,22.22222222222222
929S,Argentina,Jan-07,11,9,2,16.666666666666668
929S,Argentina,Feb-07,6,5,1,14.285714285714286
929S,Argentina,Mar-07,7,6,1,12.5
929S,UK,Jan-07,53,47,6,11.11111111111111
