Markets,Months,Products,value
US,Jan-07,200S,652
US,Feb-07,200S,88
US,Mar-07,200S,81
US,Jan-07,300S,28
US,Feb-07,300S,28
US,Mar-07,300S,22
US,Jan-07,600S,4
US,Feb-07,600S,0
US,Mar-07,600S,5
US,Jan-07,626S,73
US,Feb-07,626S,79
US,Mar-07,626S,82
US,Jan-07,676S,47
US,Feb-07,676S,49
US,Mar-07,676S,56
US,Jan-07,676RS,101
US,Feb-07,676RS,106
US,Mar-07,676RS,116
US,Jan-07,900S,9
US,Feb-07,900S,14
US,Mar-07,900S,6
US,Jan-07,929S,107
US,Feb-07,929S,106
US,Mar-07,929S,107
US,Jan-07,996S,70
US,Feb-07,996S,29
US,Mar-07,996S,68
US,Jan-07,996RS,15
US,Feb-07,996RS,17
US,Mar-07,996RS,15
US,Jan-07,RoadStar,34
US,Feb-07,RoadStar,54
US,Mar-07,RoadStar,22
US,Jan-07,RoadLiner,16
US,Feb-07,RoadLiner,20
US,Mar-07,RoadLiner,17
US,Jan-07,Victory,72
US,Feb-07,Victory,10
US,Mar-07,Victory,71
US,Jan-07,Boulevard,84
US,Feb-07,Boulevard,92
US,Mar-07,Boulevard,93
US,Jan-07,KingTwin,14
US,Feb-07,KingTwin,4
US,Mar-07,KingTwin,1
US,Jan-07,MegaTwin,66
US,Feb-07,MegaTwin,71
US,Mar-07,MegaTwin,75
US,Jan-07,ST900,17
US,Feb-07,ST900,4
US,Mar-07,ST900,1
US,Jan-07,ST1200,58
US,Feb-07,ST1200,62
US,Mar-07,ST1200,55
US,Jan-07,ST1200R,76
US,Feb-07,ST1200R,73
US,Mar-07,ST1200R,79
US,Jan-07,Bandit 900,22
US,Feb-07,Bandit 900,5
US,Mar-07,Bandit 900,1
US,Jan-07,Bandit 1200,87
US,Feb-07,Bandit 1200,42
US,Mar-07,Bandit 1200,31
US,Jan-07,Bandit 1200S,59
US,Feb-07,Bandit 1200S,56
US,Mar-07,Bandit 1200S,59
US,Jan-07,Enduro 350,35
US,Feb-07,Enduro 350,6
US,Mar-07,Enduro 350,10
US,Jan-07,Enduro 450,23
US,Feb-07,Enduro 450,7
US,Mar-07,Enduro 450,1
US,Jan-07,Enduro 550,90
US,Feb-07,Enduro 550,92
US,Mar-07,Enduro 550,100
US,Jan-07,CRX500,24
US,Feb-07,CRX500,7
US,Mar-07,CRX500,1
US,Jan-07,CRS550,38
US,Feb-07,CRS550,93
US,Mar-07,CRS550,93
US,Jan-07,CRX600,26
US,Feb-07,CRX600,66
US,Mar-07,CRX600,26
US,Jan-07,CRX650,42
US,Feb-07,CRX650,42
US,Mar-07,CRX650,45
Canada,Jan-07,200S,37
Canada,Feb-07,200S,72
Canada,Mar-07,200S,97
Canada,Jan-07,300S,20
Canada,Feb-07,300S,23
Canada,Mar-07,300S,22
Canada,Jan-07,600S,74
Canada,Feb-07,600S,71
Canada,Mar-07,600S,78
Canada,Jan-07,626S,52
Canada,Feb-07,626S,52
Canada,Mar-07,626S,55
Canada,Jan-07,676S,20
Canada,Feb-07,676S,20
Canada,Mar-07,676S,25
Canada,Jan-07,676RS,16
Canada,Feb-07,676RS,16
Canada,Mar-07,676RS,16
Canada,Jan-07,900S,105
Canada,Feb-07,900S,97
Canada,Mar-07,900S,102
Canada,Jan-07,929S,42
Canada,Feb-07,929S,40
Canada,Mar-07,929S,45
Canada,Jan-07,996S,87
Canada,Feb-07,996S,56
Canada,Mar-07,996S,90
Canada,Jan-07,996RS,73
Canada,Feb-07,996RS,72
Canada,Mar-07,996RS,70
Canada,Jan-07,RoadStar,94
Canada,Feb-07,RoadStar,10
Canada,Mar-07,RoadStar,102
Canada,Jan-07,RoadLiner,83
Canada,Feb-07,RoadLiner,86
Canada,Mar-07,RoadLiner,79
Canada,Jan-07,Victory,34
Canada,Feb-07,Victory,65
Canada,Mar-07,Victory,20
Canada,Jan-07,Boulevard,50
Canada,Feb-07,Boulevard,54
Canada,Mar-07,Boulevard,53
Canada,Jan-07,KingTwin,21
Canada,Feb-07,KingTwin,7
Canada,Mar-07,KingTwin,1
