plant,product,month,capacity,production,absdiff,reldiff
Houston,200S,Jan-07,210,210,0,0
Houston,200S,Feb-07,210,210,0,0
Houston,200S,Mar-07,210,210,0,0
Houston,300S,Jan-07,84,84,0,0
Houston,300S,Feb-07,84,84,0,0
Houston,300S,Mar-07,84,84,0,0
Houston,600S,Jan-07,251,208,43,17.063492063492063
Houston,600S,Feb-07,251,228,23,9.126984126984127
Houston,600S,Mar-07,251,193,58,23.015873015873016
Houston,626S,Jan-07,195,0,195,99.48979591836735
Houston,626S,Feb-07,195,0,195,99.48979591836735
Houston,626S,Mar-07,195,0,195,99.48979591836735
Houston,676S,Jan-07,97,97,0,0
Houston,676S,Feb-07,97,97,0,0
Houston,676S,Mar-07,97,97,0,0
Houston,676RS,Jan-07,152,152,0,0
Houston,676RS,Feb-07,152,152,0,0
Houston,676RS,Mar-07,152,152,0,0
Houston,900S,Jan-07,214,0,214,99.53488372093024
Houston,900S,Feb-07,214,0,214,99.53488372093024
Houston,900S,Mar-07,214,0,214,99.53488372093024
Houston,929S,Jan-07,267,0,267,99.6268656716418
Houston,929S,Feb-07,267,0,267,99.6268656716418
Houston,929S,Mar-07,267,0,267,99.6268656716418
Houston,996S,Jan-07,44,0,44,97.77777777777777
Houston,996S,Feb-07,44,0,44,97.77777777777777
Houston,996S,Mar-07,44,1,43,95.55555555555556
Houston,996RS,Jan-07,151,111,40,26.31578947368421
Houston,996RS,Feb-07,151,103,48,31.57894736842105
Houston,996RS,Mar-07,151,99,52,34.21052631578947
Houston,RoadStar,Jan-07,150,150,0,0
Houston,RoadStar,Feb-07,150,118,32,21.192052980132452
Houston,RoadStar,Mar-07,150,104,46,30.4635761589404
Houston,RoadLiner,Jan-07,65,65,0,0
Houston,RoadLiner,Feb-07,65,65,0,0
Houston,RoadLiner,Mar-07,65,64,1,1.5151515151515151
Houston,Victory,Jan-07,274,0,274,99.63636363636364
Houston,Victory,Feb-07,274,0,274,99.63636363636364
