Plants,Months,Products,value
Houston,Jan-07,200S,0
Houston,Feb-07,200S,0
Houston,Mar-07,200S,0
Houston,Jan-07,300S,84
Houston,Feb-07,300S,84
Houston,Mar-07,300S,84
Houston,Jan-07,600S,235
Houston,Feb-07,600S,225
Houston,Mar-07,600S,198
Houston,Jan-07,626S,0
Houston,Feb-07,626S,0
Houston,Mar-07,626S,0
Houston,Jan-07,676S,97
Houston,Feb-07,676S,97
Houston,Mar-07,676S,97
Houston,Jan-07,676RS,152
Houston,Feb-07,676RS,152
Houston,Mar-07,676RS,152
Houston,Jan-07,900S,0
Houston,Feb-07,900S,0
Houston,Mar-07,900S,0
Houston,Jan-07,929S,0
Houston,Feb-07,929S,0
Houston,Mar-07,929S,0
Houston,Jan-07,996S,0
Houston,Feb-07,996S,0
Houston,Mar-07,996S,44
Houston,Jan-07,996RS,151
Houston,Feb-07,996RS,151
Houston,Mar-07,996RS,151
Houston,Jan-07,RoadStar,150
Houston,Feb-07,RoadStar,136
Houston,Mar-07,RoadStar,125
Houston,Jan-07,RoadLiner,65
Houston,Feb-07,RoadLiner,65
Houston,Mar-07,RoadLiner,65
Houston,Jan-07,Victory,0
Houston,Feb-07,Victory,0
Houston,Mar-07,Victory,0
Houston,Jan-07,Boulevard,1
Houston,Feb-07,Boulevard,0
Houston,Mar-07,Boulevard,0
Houston,Jan-07,KingTwin,124
Houston,Feb-07,KingTwin,111
Houston,Mar-07,KingTwin,73
Houston,Jan-07,MegaTwin,163
Houston,Feb-07,MegaTwin,163
Houston,Mar-07,MegaTwin,163
Houston,Jan-07,ST900,0
Houston,Feb-07,ST900,0
Houston,Mar-07,ST900,0
Houston,Jan-07,ST1200,168
Houston,Feb-07,ST1200,177
Houston,Mar-07,ST1200,181
Houston,Jan-07,ST1200R,0
Houston,Feb-07,ST1200R,0
Houston,Mar-07,ST1200R,0
Houston,Jan-07,Bandit 900,0
Houston,Feb-07,Bandit 900,0
Houston,Mar-07,Bandit 900,0
Houston,Jan-07,Bandit 1200,201
Houston,Feb-07,Bandit 1200,201
Houston,Mar-07,Bandit 1200,155
Houston,Jan-07,Bandit 1200S,40
Houston,Feb-07,Bandit 1200S,40
Houston,Mar-07,Bandit 1200S,40
Houston,Jan-07,Enduro 350,0
Houston,Feb-07,Enduro 350,0
Houston,Mar-07,Enduro 350,0
Houston,Jan-07,Enduro 450,0
Houston,Feb-07,Enduro 450,0
Houston,Mar-07,Enduro 450,0
Houston,Jan-07,Enduro 550,1
Houston,Feb-07,Enduro 550,0
Houston,Mar-07,Enduro 550,18
Houston,Jan-07,CRX500,0
Houston,Feb-07,CRX500,0
Houston,Mar-07,CRX500,0
Houston,Jan-07,CRS550,66
Houston,Feb-07,CRS550,66
Houston,Mar-07,CRS550,66
Houston,Jan-07,CRX600,0
Houston,Feb-07,CRX600,0
Houston,Mar-07,CRX600,0
Houston,Jan-07,CRX650,177
Houston,Feb-07,CRX650,192
Houston,Mar-07,CRX650,218
Dallas,Jan-07,200S,76
Dallas,Feb-07,200S,76
Dallas,Mar-07,200S,76
Dallas,Jan-07,300S,2
Dallas,Feb-07,300S,9
Dallas,Mar-07,300S,0
Dallas,Jan-07,600S,0
Dallas,Feb-07,600S,0
Dallas,Mar-07,600S,0
Dallas,Jan-07,626S,0
Dallas,Feb-07,626S,0
Dallas,Mar-07,626S,0
Dallas,Jan-07,676S,244
Dallas,Feb-07,676S,244
Dallas,Mar-07,676S,244
Dallas,Jan-07,676RS,36
Dallas,Feb-07,676RS,36
Dallas,Mar-07,676RS,36
Dallas,Jan-07,900S,0
Dallas,Feb-07,900S,0
Dallas,Mar-07,900S,0
Dallas,Jan-07,929S,108
Dallas,Feb-07,929S,109
Dallas,Mar-07,929S,111
Dallas,Jan-07,996S,172
Dallas,Feb-07,996S,172
Dallas,Mar-07,996S,172
Dallas,Jan-07,996RS,0
Dallas,Feb-07,996RS,0
Dallas,Mar-07,996RS,0
Dallas,Jan-07,RoadStar,262
Dallas,Feb-07,RoadStar,262
Dallas,Mar-07,RoadStar,262
Dallas,Jan-07,RoadLiner,105
Dallas,Feb-07,RoadLiner,105
Dallas,Mar-07,RoadLiner,105
Dallas,Jan-07,Victory,0
Dallas,Feb-07,Victory,0
Dallas,Mar-07,Victory,0
Dallas,Jan-07,Boulevard,197
Dallas,Feb-07,Boulevard,197
Dallas,Mar-07,Boulevard,197
Dallas,Jan-07,KingTwin,0
Dallas,Feb-07,KingTwin,41
Dallas,Mar-07,KingTwin,41
Dallas,Jan-07,MegaTwin,0
Dallas,Feb-07,MegaTwin,0
Dallas,Mar-07,MegaTwin,0
Dallas,Jan-07,ST900,0
Dallas,Feb-07,ST900,0
Dallas,Mar-07,ST900,0
Dallas,Jan-07,ST1200,0
Dallas,Feb-07,ST1200,0
Dallas,Mar-07,ST1200,0
Dallas,Jan-07,ST1200R,57
Dallas,Feb-07,ST1200R,15
Dallas,Mar-07,ST1200R,64
Dallas,Jan-07,Bandit 900,159
Dallas,Feb-07,Bandit 900,154
Dallas,Mar-07,Bandit 900,119
Dallas,Jan-07,Bandit 1200,0
Dallas,Feb-07,Bandit 1200,2
Dallas,Mar-07,Bandit 1200,0
Dallas,Jan-07,Bandit 1200S,207
Dallas,Feb-07,Bandit 1200S,207
Dallas,Mar-07,Bandit 1200S,207
Dallas,Jan-07,Enduro 350,0
Dallas,Feb-07,Enduro 350,0
Dallas,Mar-07,Enduro 350,0
Dallas,Jan-07,Enduro 450,87
Dallas,Feb-07,Enduro 450,89
Dallas,Mar-07,Enduro 450,63
Dallas,Jan-07,Enduro 550,104
Dallas,Feb-07,Enduro 550,104
Dallas,Mar-07,Enduro 550,104
Dallas,Jan-07,CRX500,0
Dallas,Feb-07,CRX500,0
Dallas,Mar-07,CRX500,0
Dallas,Jan-07,CRS550,86
Dallas,Feb-07,CRS550,86
Dallas,Mar-07,CRS550,86
Dallas,Jan-07,CRX600,0
Dallas,Feb-07,CRX600,0
Dallas,Mar-07,CRX600,0
Dallas,Jan-07,CRX650,0
Dallas,Feb-07,CRX650,0
Dallas,Mar-07,CRX650,0
Los Angeles,Jan-07,200S,89
Los Angeles,Feb-07,200S,89
Los Angeles,Mar-07,200S,89
Los Angeles,Jan-07,300S,61
Los Angeles,Feb-07,300S,61
Los Angeles,Mar-07,300S,61
Los Angeles,Jan-07,600S,0
Los Angeles,Feb-07,600S,0
Los Angeles,Mar-07,600S,0
Los Angeles,Jan-07,626S,213
Los Angeles,Feb-07,626S,213
Los Angeles,Mar-07,626S,213
Los Angeles,Jan-07,676S,48
Los Angeles,Feb-07,676S,48
Los Angeles,Mar-07,676S,48
Los Angeles,Jan-07,676RS,0
Los Angeles,Feb-07,676RS,0
Los Angeles,Mar-07,676RS,0
Los Angeles,Jan-07,900S,156
Los Angeles,Feb-07,900S,156
Los Angeles,Mar-07,900S,156
Los Angeles,Jan-07,929S,111
Los Angeles,Feb-07,929S,111
Los Angeles,Mar-07,929S,111
Los Angeles,Jan-07,996S,204
Los Angeles,Feb-07,996S,204
Los Angeles,Mar-07,996S,204
Los Angeles,Jan-07,996RS,36
Los Angeles,Feb-07,996RS,36
Los Angeles,Mar-07,996RS,36
Los Angeles,Jan-07,RoadStar,0
Los Angeles,Feb-07,RoadStar,0
Los Angeles,Mar-07,RoadStar,0
Los Angeles,Jan-07,RoadLiner,66
Los Angeles,Feb-07,RoadLiner,66
Los Angeles,Mar-07,RoadLiner,66
Los Angeles,Jan-07,Victory,0
Los Angeles,Feb-07,Victory,0
Los Angeles,Mar-07,Victory,0
Los Angeles,Jan-07,Boulevard,0
Los Angeles,Feb-07,Boulevard,0
Los Angeles,Mar-07,Boulevard,0
Los Angeles,Jan-07,KingTwin,0
Los Angeles,Feb-07,KingTwin,0
Los Angeles,Mar-07,KingTwin,0
Los Angeles,Jan-07,MegaTwin,0
Los Angeles,Feb-07,MegaTwin,0
Los Angeles,Mar-07,MegaTwin,0
Los Angeles,Jan-07,ST900,0
Los Angeles,Feb-07,ST900,0
Los Angeles,Mar-07,ST900,0
Los Angeles,Jan-07,ST1200,56
Los Angeles,Feb-07,ST1200,56
Los Angeles,Mar-07,ST1200,56
Los Angeles,Jan-07,ST1200R,175
Los Angeles,Feb-07,ST1200R,175
Los Angeles,Mar-07,ST1200R,175
Los Angeles,Jan-07,Bandit 900,0
Los Angeles,Feb-07,Bandit 900,0
Los Angeles,Mar-07,Bandit 900,0
Los Angeles,Jan-07,Bandit 1200,0
Los Angeles,Feb-07,Bandit 1200,0
Los Angeles,Mar-07,Bandit 1200,0
Los Angeles,Jan-07,Bandit 1200S,88
Los Angeles,Feb-07,Bandit 1200S,88
Los Angeles,Mar-07,Bandit 1200S,88
Los Angeles,Jan-07,Enduro 350,0
Los Angeles,Feb-07,Enduro 350,0
Los Angeles,Mar-07,Enduro 350,0
Los Angeles,Jan-07,Enduro 450,0
Los Angeles,Feb-07,Enduro 450,0
Los Angeles,Mar-07,Enduro 450,0
Los Angeles,Jan-07,Enduro 550,37
Los Angeles,Feb-07,Enduro 550,37
Los Angeles,Mar-07,Enduro 550,37
Los Angeles,Jan-07,CRX500,0
Los Angeles,Feb-07,CRX500,0
Los Angeles,Mar-07,CRX500,0
Los Angeles,Jan-07,CRS550,147
Los Angeles,Feb-07,CRS550,147
Los Angeles,Mar-07,CRS550,147
Los Angeles,Jan-07,CRX600,111
Los Angeles,Feb-07,CRX600,99
Los Angeles,Mar-07,CRX600,60
Los Angeles,Jan-07,CRX650,274
Los Angeles,Feb-07,CRX650,274
