plant,product,month,capacity,production,absdiff,reldiff
Houston,200S,Jan-07,0,0,0,0
Houston,200S,Feb-07,0,0,0,0
Houston,200S,Mar-07,0,0,0,0
Houston,300S,Jan-07,84,84,0,0
Houston,300S,Feb-07,84,84,0,0
Houston,300S,Mar-07,84,84,0,0
Houston,600S,Jan-07,251,235,16,6.349206349206349
Houston,600S,Feb-07,251,225,26,10.317460317460318
Houston,600S,Mar-07,251,198,53,21.03174603174603
Houston,626S,Jan-07,195,0,195,99.48979591836735
Houston,626S,Feb-07,195,0,195,99.48979591836735
Houston,626S,Mar-07,195,0,195,99.48979591836735
Houston,676S,Jan-07,97,97,0,0
Houston,676S,Feb-07,97,97,0,0
Houston,676S,Mar-07,97,97,0,0
Houston,676RS,Jan-07,152,152,0,0
Houston,676RS,Feb-07,152,152,0,0
Houston,676RS,Mar-07,152,152,0,0
Houston,900S,Jan-07,214,0,214,99.53488372093024
Houston,900S,Feb-07,214,0,214,99.53488372093024
Houston,900S,Mar-07,214,0,214,99.53488372093024
Houston,929S,Jan-07,267,0,267,99.6268656716418
Houston,929S,Feb-07,267,0,267,99.6268656716418
Houston,929S,Mar-07,267,0,267,99.6268656716418
Houston,996S,Jan-07,44,0,44,97.77777777777777
Houston,996S,Feb-07,44,0,44,97.77777777777777
Houston,996S,Mar-07,44,44,0,0
Houston,996RS,Jan-07,151,151,0,0
Houston,996RS,Feb-07,151,151,0,0
Houston,996RS,Mar-07,151,151,0,0
Houston,RoadStar,Jan-07,150,150,0,0
Houston,RoadStar,Feb-07,150,136,14,9.271523178807946
Houston,RoadStar,Mar-07,150,125,25,16.556291390728475
Houston,RoadLiner,Jan-07,65,65,0,0
Houston,RoadLiner,Feb-07,65,65,0,0
Houston,RoadLiner,Mar-07,65,65,0,0
Houston,Victory,Jan-07,274,0,274,99.63636363636364
Houston,Victory,Feb-07,274,0,274,99.63636363636364
Houston,Victory,Mar-07,274,0,274,99.63636363636364
Houston,Boulevard,Jan-07,173,1,172,98.85057471264368
Houston,Boulevard,Feb-07,173,0,173,99.42528735632185
Houston,Boulevard,Mar-07,173,0,173,99.42528735632185
Houston,KingTwin,Jan-07,190,124,66,34.55497382198953
Houston,KingTwin,Feb-07,190,111,79,41.361256544502616
Houston,KingTwin,Mar-07,190,73,117,61.2565445026178
Houston,MegaTwin,Jan-07,163,163,0,0
